,precision,recall,f1-score,support
A,0.9245283018867925,0.98,0.9514563106796117,50.0
B,0.98,0.98,0.98,50.0
C,1.0,0.98,0.98989898989899,50.0
D,1.0,1.0,1.0,50.0
E,1.0,1.0,1.0,50.0
F,0.9607843137254902,0.98,0.9702970297029703,50.0
G,0.9803921568627451,1.0,0.9900990099009901,50.0
H,1.0,0.98,0.98989898989899,50.0
I,0.9591836734693877,0.94,0.9494949494949495,50.0
J,1.0,0.92,0.9583333333333334,50.0
K,1.0,1.0,1.0,50.0
L,1.0,1.0,1.0,50.0
M,0.8653846153846154,0.9,0.8823529411764706,50.0
N,0.9,0.9,0.9,50.0
O,0.98,0.98,0.98,50.0
P,0.96,0.96,0.96,50.0
Q,0.9795918367346939,0.96,0.9696969696969697,50.0
R,0.94,0.94,0.94,50.0
S,0.9795918367346939,0.96,0.9696969696969697,50.0
T,1.0,1.0,1.0,50.0
U,0.9795918367346939,0.96,0.9696969696969697,50.0
V,0.98,0.98,0.98,50.0
W,0.96,0.96,0.96,50.0
X,1.0,0.96,0.9795918367346939,50.0
Y,1.0,0.98,0.98989898989899,50.0
Z,0.9803921568627451,1.0,0.9900990099009901,50.0
del,0.98,0.98,0.98,50.0
space,0.8909090909090909,0.98,0.9333333333333333,50.0
accuracy,0.97,0.97,0.97,0.97
macro avg,0.9707267792608911,0.97,0.9701373440373294,1400.0
weighted avg,0.970726779260891,0.97,0.9701373440373294,1400.0
