,precision,recall,f1-score,support
A,0.9791666666666666,0.94,0.9591836734693877,50.0
B,1.0,1.0,1.0,50.0
C,1.0,0.98,0.98989898989899,50.0
D,1.0,1.0,1.0,50.0
E,1.0,1.0,1.0,50.0
F,0.98,0.98,0.98,50.0
G,0.9803921568627451,1.0,0.9900990099009901,50.0
H,0.98,0.98,0.98,50.0
I,0.96,0.96,0.96,50.0
J,1.0,0.94,0.9690721649484536,50.0
K,1.0,1.0,1.0,50.0
L,1.0,1.0,1.0,50.0
M,0.8301886792452831,0.88,0.8543689320388349,50.0
N,0.9,0.9,0.9,50.0
O,1.0,0.98,0.98989898989899,50.0
P,0.96,0.96,0.96,50.0
Q,0.9795918367346939,0.96,0.9696969696969697,50.0
R,0.9423076923076923,0.98,0.9607843137254902,50.0
S,0.96,0.96,0.96,50.0
T,1.0,1.0,1.0,50.0
U,0.9795918367346939,0.96,0.9696969696969697,50.0
V,1.0,0.98,0.98989898989899,50.0
W,1.0,0.96,0.9795918367346939,50.0
X,1.0,0.98,0.98989898989899,50.0
Y,1.0,1.0,1.0,50.0
Z,0.9803921568627451,1.0,0.9900990099009901,50.0
del,0.98,0.98,0.98,50.0
space,0.8571428571428571,0.96,0.9056603773584906,50.0
accuracy,0.9721428571428572,0.9721428571428572,0.9721428571428572,0.9721428571428572
macro avg,0.9731704958056205,0.9721428571428571,0.9724231863238298,1400.0
weighted avg,0.9731704958056205,0.9721428571428572,0.9724231863238297,1400.0
